Keys,Min,Max,Variations
Key\Hidrologia\DC:Annual Activity Level,2,2,1
Key\Hidrologia\DWC:Annual Activity Level,600,600,1
Key\Hidrologia\Kc\Veg Par:Annual Activity Level,0.6,0.6,1
Key\Hidrologia\PFD\Veg Par:Annual Activity Level,0.2,0.2,1
Key\Hidrologia\RRF\Veg Par:Annual Activity Level,5,5,1
Key\Hidrologia\RZC\Veg Par:Annual Activity Level,2,2,1
Key\Hidrologia\SWC\Veg Par:Annual Activity Level,150,150,1
Key\Hidrologia\Z1:Annual Activity Level,30,30,1
Key\Hidrologia\Z2:Annual Activity Level,30,30,1
Key\Hidrologia\perdidas GW:Annual Activity Level,0,30,3
